EmployeeID,Age,Gender,Department,JobRole,Education,MaritalStatus,HireDate,YearsAtCompany,JobLevel,MonthlyIncome,SalaryHike%,Overtime,PerformanceRating,TrainingTimesLastYear,WorkLifeBalance,Attrition,JobSatisfaction,EnvironmentSatisfaction,PromotionLast5Years
EMP0036,35,Male,Marketing,Content Strategist,Bachelor,Single,2002-09-06,23,5,13694,24.1,Yes,4,6,2,Yes,2,1,No
EMP0037,30,Non-Binary,R&D,Research Scientist,Bachelor,Married,2012-01-18,14,3,9965,19.8,Yes,2,2,1,No,3,2,No
EMP0038,47,Male,R&D,Lab Technician,Master,Married,2021-02-07,5,3,8116,12.1,No,3,1,4,No,3,3,No
EMP0039,23,Male,Sales,Sales Executive,Bachelor,Married,2018-04-24,7,1,2876,10.9,Yes,1,2,2,Yes,3,4,No
EMP0040,41,Male,Sales,Sales Representative,Bachelor,Single,2021-07-16,4,1,3338,12.0,Yes,3,0,3,No,3,3,Yes
EMP0041,49,Male,Marketing,Marketing Analyst,Master,Single,2010-05-06,15,4,13344,20.5,No,4,5,4,No,3,3,No
EMP0042,28,Male,HR,HR Specialist,Bachelor,Single,2008-11-08,17,4,10738,18.2,No,3,3,4,No,4,4,Yes
EMP0043,29,Female,Sales,Sales Executive,Bachelor,Divorced,2020-05-27,5,1,3361,8.7,No,4,3,1,Yes,3,3,No
EMP0044,56,Female,IT,Data Analyst,Doctorate,Divorced,2021-07-19,4,2,5037,8.5,Yes,3,0,4,Yes,3,4,Yes
EMP0045,35,Male,Finance,Accountant,Master,Married,2010-08-24,15,3,10819,7.0,No,4,6,3,No,4,4,Yes
EMP0046,38,Female,Sales,Sales Representative,College,Married,2013-11-22,12,3,7444,18.2,Yes,4,1,3,No,3,2,No
EMP0047,57,Male,IT,Software Engineer,Doctorate,Married,2022-01-08,4,1,3107,20.3,Yes,4,3,3,Yes,2,2,No
EMP0048,25,Female,IT,Data Analyst,Master,Single,2013-12-04,12,2,4854,10.3,No,1,4,4,No,2,2,No
EMP0049,23,Male,IT,Data Analyst,Bachelor,Divorced,2010-01-03,16,5,22667,5.4,Yes,4,6,3,Yes,2,3,No
EMP0050,27,Female,Sales,Sales Executive,College,Married,2008-09-11,17,5,13843,6.6,No,3,3,3,No,4,4,No
EMP0051,25,Non-Binary,Finance,Finance Manager,Master,Married,2018-12-01,7,2,5932,24.4,No,3,4,3,No,3,3,No
EMP0052,50,Male,HR,HR Specialist,Master,Married,2013-04-14,12,2,4893,10.9,No,4,0,4,No,4,2,No
EMP0053,39,Female,Finance,Accountant,Bachelor,Single,2007-11-25,18,3,8048,20.4,No,3,0,4,Yes,3,4,No
EMP0054,47,Male,IT,Software Engineer,Master,Single,2023-11-19,2,2,5874,17.5,Yes,4,6,2,Yes,3,3,No
EMP0055,55,Male,Marketing,Marketing Manager,Master,Married,2002-09-24,23,4,14204,12.6,No,2,3,4,No,1,2,No
EMP0056,31,Female,Finance,Financial Analyst,College,Single,2018-09-11,7,1,3730,9.1,No,3,2,2,Yes,3,3,No
EMP0057,57,Female,IT,Data Analyst,Bachelor,Married,2024-07-31,1,1,2308,7.4,No,3,4,1,No,3,3,No
EMP0058,35,Female,Finance,Finance Manager,Bachelor,Single,2018-06-22,7,3,8841,17.3,No,2,1,1,No,4,4,No
EMP0059,52,Male,R&D,Lab Technician,Master,Married,2013-03-02,12,3,10360,20.5,Yes,2,3,3,Yes,2,1,No
EMP0060,36,Male,R&D,R&D Manager,Below College,Single,2014-02-16,12,3,6351,17.9,No,1,1,3,No,3,2,No
EMP0061,29,Female,R&D,R&D Manager,Bachelor,Married,2025-07-08,0,1,3141,15.6,Yes,3,3,1,Yes,3,3,No
EMP0062,35,Female,IT,Software Engineer,Master,Married,2020-05-05,5,2,5498,5.8,No,3,2,1,No,3,2,No
EMP0063,44,Male,Sales,Sales Executive,Master,Single,2002-07-01,23,5,18057,24.4,No,3,2,4,No,3,3,No
EMP0064,42,Non-Binary,HR,HR Manager,Bachelor,Married,2007-12-04,18,5,15030,21.0,Yes,3,6,4,No,4,3,No
EMP0065,37,Male,R&D,Research Scientist,Master,Married,2010-10-26,15,4,9415,10.9,No,3,6,4,No,2,3,No
EMP0066,39,Male,Marketing,Marketing Analyst,College,Married,2018-09-18,7,2,3921,24.6,Yes,3,2,4,No,4,4,No
EMP0067,45,Female,IT,IT Manager,Master,Divorced,2025-11-07,0,1,3439,17.0,No,1,5,3,No,3,3,No
EMP0068,47,Female,IT,Software Engineer,College,Married,2010-08-09,15,4,13987,16.6,No,4,2,2,No,4,2,No
EMP0069,46,Female,R&D,R&D Manager,Bachelor,Single,2017-09-05,8,1,3136,20.0,No,4,0,3,No,4,3,No
EMP0070,50,Male,IT,IT Manager,Master,Single,2013-02-24,12,2,5059,21.2,No,3,0,3,No,2,4,No
EMP0071,36,Female,Marketing,Marketing Manager,College,Single,2015-11-21,10,4,9078,18.1,No,3,5,2,No,2,4,No
EMP0072,22,Female,R&D,Lab Technician,Bachelor,Married,2013-08-28,12,4,13014,7.6,Yes,4,4,3,No,4,2,Yes
EMP0073,46,Non-Binary,Finance,Accountant,Master,Single,2001-10-19,24,5,14193,11.8,Yes,2,1,1,Yes,3,4,No
EMP0074,28,Male,R&D,Lab Technician,Master,Married,2005-09-28,20,5,15186,23.6,Yes,2,3,3,No,4,3,No
EMP0075,30,Male,R&D,R&D Manager,Master,Married,2016-11-04,9,2,5016,9.5,Yes,2,3,3,No,2,2,No
EMP0076,45,Male,Finance,Accountant,Master,Single,2022-04-20,3,2,5337,12.4,No,4,5,3,No,3,2,No
EMP0077,22,Male,R&D,Lab Technician,Bachelor,Married,2020-02-24,5,2,4873,13.6,No,1,0,3,No,4,1,No
EMP0078,29,Male,R&D,Research Scientist,Bachelor,Single,2019-04-08,6,3,8542,13.8,No,3,6,3,No,4,4,No
EMP0079,45,Male,R&D,Lab Technician,Bachelor,Single,2021-10-18,4,1,2720,17.3,Yes,4,3,1,Yes,2,2,No
EMP0080,32,Male,R&D,Lab Technician,College,Married,2016-02-10,10,2,6078,23.9,No,4,0,2,No,4,2,Yes
EMP0081,38,Female,R&D,R&D Manager,Doctorate,Married,2013-06-01,12,3,9814,9.8,No,3,4,4,No,3,4,No
EMP0082,29,Female,HR,Recruiter,Bachelor,Married,2001-12-07,24,5,17276,7.4,Yes,2,1,3,Yes,1,3,No
EMP0083,56,Male,Finance,Finance Manager,Bachelor,Married,2007-02-25,18,5,18179,8.9,No,4,4,2,No,3,1,No
EMP0084,56,Male,Finance,Finance Manager,Bachelor,Single,2003-07-11,22,5,22400,22.7,No,3,5,4,No,3,1,No
EMP0085,54,Female,Finance,Finance Manager,Doctorate,Married,2017-01-08,9,1,2472,17.9,Yes,2,2,2,Yes,4,2,No
EMP0086,26,Male,Finance,Finance Manager,College,Married,2016-07-29,9,1,2444,10.7,No,2,2,3,No,3,2,No
EMP0087,49,Male,Marketing,Content Strategist,Bachelor,Married,2015-05-31,10,4,13250,21.3,No,4,2,2,No,2,3,No
EMP0088,28,Male,R&D,R&D Manager,Bachelor,Single,2005-03-27,20,4,15503,22.2,Yes,3,4,3,Yes,1,2,No
EMP0089,30,Male,R&D,R&D Manager,Master,Married,2019-08-25,6,2,5285,21.9,No,4,3,3,No,3,2,No
EMP0090,29,Female,R&D,Research Scientist,Below College,Married,2008-03-07,17,3,10701,23.4,No,4,1,2,Yes,2,4,Yes
EMP0091,33,Male,Sales,Sales Representative,Master,Single,2022-04-07,3,2,5579,10.0,No,3,2,4,No,4,3,No
EMP0092,55,Female,HR,HR Manager,Doctorate,Divorced,2024-11-26,1,1,2693,20.1,No,3,5,3,No,3,3,No
EMP0093,54,Female,R&D,Lab Technician,Bachelor,Single,2012-04-06,13,4,10216,14.2,No,3,5,2,No,4,3,No
EMP0094,44,Male,Finance,Finance Manager,Master,Divorced,2013-10-30,12,3,9302,21.8,No,3,2,2,No,4,3,Yes
EMP0095,45,Male,IT,IT Manager,Doctorate,Married,2014-06-13,11,2,4745,19.6,No,3,2,2,No,3,3,No
EMP0096,58,Male,HR,Recruiter,Master,Single,2020-02-12,6,3,8603,20.5,Yes,4,1,1,No,4,3,No
EMP0097,56,Female,R&D,Research Scientist,College,Married,2024-11-26,1,2,6806,18.1,No,3,2,3,Yes,4,3,Yes
EMP0098,43,Male,Sales,Sales Manager,Bachelor,Divorced,2013-07-25,12,3,8108,8.5,No,4,1,4,No,3,4,No
EMP0099,48,Male,IT,Software Engineer,Master,Married,2012-04-10,13,4,14365,15.9,No,3,5,3,No,2,1,No
EMP0100,56,Female,IT,Data Analyst,Bachelor,Married,2010-01-27,16,4,9813,24.7,Yes,3,2,2,No,3,4,No
EMP0101,22,Male,R&D,R&D Manager,Master,Married,2018-02-15,8,2,5059,23.7,No,3,4,1,No,3,2,No
EMP0102,56,Male,Marketing,Marketing Analyst,Doctorate,Married,2009-10-14,16,4,9467,5.9,Yes,3,6,2,No,4,4,No
EMP0103,58,Male,Sales,Sales Executive,Doctorate,Married,2018-04-28,7,2,5560,8.3,Yes,3,4,3,No,3,3,No
EMP0104,35,Male,Sales,Sales Manager,Bachelor,Single,2024-08-14,1,1,3351,7.6,Yes,2,5,4,No,4,4,No
EMP0105,24,Female,Sales,Sales Representative,College,Married,2002-02-22,23,5,17191,19.5,No,3,1,2,Yes,3,1,No
EMP0106,22,Male,R&D,Lab Technician,Doctorate,Single,2014-02-04,12,4,14208,21.4,No,2,4,3,No,2,3,Yes
EMP0107,26,Female,IT,Data Analyst,Master,Divorced,2024-02-07,2,1,2662,9.3,No,3,1,4,Yes,4,3,No
EMP0108,47,Male,Marketing,Marketing Analyst,College,Divorced,2010-11-24,15,5,17574,15.1,Yes,3,4,3,No,3,4,No
EMP0109,35,Female,R&D,Research Scientist,Doctorate,Single,2021-02-06,5,1,2762,21.8,No,3,4,4,No,3,3,No
EMP0110,48,Male,Finance,Financial Analyst,Master,Married,2008-01-25,18,4,12651,19.7,No,4,1,3,No,3,3,No
EMP0111,30,Male,IT,Software Engineer,Bachelor,Divorced,2019-04-24,6,1,3226,15.8,No,3,3,3,No,1,3,No
EMP0112,36,Non-Binary,IT,Data Analyst,Bachelor,Single,2016-06-20,9,1,3262,16.8,Yes,3,4,3,No,3,3,Yes
EMP0113,36,Female,Sales,Sales Manager,Bachelor,Married,2017-10-19,8,3,7134,15.2,No,3,2,3,No,3,3,No
EMP0114,47,Female,R&D,Research Scientist,College,Divorced,2024-09-24,1,2,4765,11.0,No,3,6,2,No,3,2,No
EMP0115,34,Male,Sales,Sales Executive,Bachelor,Single,2011-12-26,14,3,7602,16.3,No,2,5,3,No,4,4,No
EMP0116,53,Male,R&D,Lab Technician,Master,Married,2021-06-25,4,1,2892,18.8,Yes,3,3,2,Yes,3,4,No
EMP0117,53,Male,Sales,Sales Manager,Below College,Single,2004-02-28,21,4,12156,22.5,Yes,3,1,3,No,2,4,No
EMP0118,25,Female,Marketing,Marketing Manager,Bachelor,Divorced,2022-08-30,3,1,3318,17.7,No,3,3,2,No,3,2,No
EMP0119,51,Male,R&D,Lab Technician,Bachelor,Divorced,2006-07-13,19,4,10473,20.2,No,1,0,4,No,4,4,No
EMP0120,58,Female,R&D,Lab Technician,Bachelor,Divorced,2022-10-23,3,1,2279,8.2,No,2,0,3,No,2,4,No
EMP0121,44,Male,R&D,R&D Manager,Doctorate,Married,2008-04-15,17,4,15880,14.2,No,3,4,3,Yes,2,3,No
EMP0122,36,Non-Binary,R&D,Research Scientist,Bachelor,Divorced,2022-08-20,3,1,2490,5.2,Yes,4,4,2,Yes,1,3,No
EMP0123,50,Male,R&D,R&D Manager,Bachelor,Married,2009-05-06,16,4,13505,9.9,No,3,2,4,No,1,3,No
EMP0124,57,Female,R&D,Lab Technician,Master,Single,2014-04-18,11,4,12056,19.5,No,3,6,4,No,4,4,Yes
EMP0125,34,Male,Sales,Sales Executive,Bachelor,Married,2004-04-24,21,4,12452,24.8,No,2,5,3,No,4,3,No
EMP0126,53,Male,R&D,Research Scientist,Bachelor,Single,2009-11-28,16,3,8498,7.0,No,3,3,2,No,3,1,No
EMP0127,28,Female,R&D,Lab Technician,Bachelor,Married,2016-07-22,9,1,2826,13.0,No,3,0,3,No,3,3,No
EMP0128,43,Male,Marketing,Content Strategist,College,Single,2004-09-21,21,4,12835,21.0,Yes,2,4,2,No,3,4,No
EMP0129,49,Male,R&D,Lab Technician,College,Single,2026-01-12,0,1,2802,9.1,No,3,5,2,No,4,4,No
EMP0130,23,Non-Binary,Sales,Sales Manager,Bachelor,Single,2004-03-03,21,4,14099,16.1,Yes,1,3,4,No,4,4,No
EMP0131,27,Female,Sales,Sales Manager,Bachelor,Married,2002-04-13,23,4,13023,19.7,No,1,4,3,Yes,3,3,No
EMP0132,49,Male,IT,Software Engineer,Doctorate,Single,2008-02-23,17,3,9264,17.3,No,2,4,3,No,4,2,No
EMP0133,49,Male,R&D,Lab Technician,Bachelor,Married,2008-12-21,17,5,15706,8.8,No,1,0,4,No,4,2,Yes
EMP0134,41,Male,Marketing,Marketing Analyst,Bachelor,Single,2012-10-10,13,2,5305,12.1,No,2,0,3,Yes,2,2,No
EMP0135,51,Female,IT,Software Engineer,Master,Single,2011-08-01,14,4,9861,20.7,No,3,4,3,Yes,2,1,No
EMP0136,32,Male,Sales,Sales Executive,Below College,Married,2014-06-21,11,3,8049,16.1,No,4,1,3,No,3,3,No
EMP0137,49,Male,IT,Software Engineer,Master,Married,2023-01-15,3,1,2533,5.1,No,3,4,4,No,4,2,No
EMP0138,46,Male,HR,HR Manager,College,Single,2023-11-18,2,1,3590,20.2,Yes,3,5,2,Yes,4,3,No
EMP0139,54,Male,Sales,Sales Executive,Doctorate,Married,2006-07-27,19,4,12090,5.7,No,3,4,4,No,4,4,No
EMP0140,22,Female,R&D,Lab Technician,College,Divorced,2014-03-03,11,3,8717,19.9,No,4,2,4,Yes,4,3,No
EMP0141,48,Male,Finance,Accountant,Bachelor,Married,2019-03-24,6,3,8212,9.0,No,3,6,2,Yes,3,4,No
EMP0142,34,Female,R&D,R&D Manager,College,Single,2015-04-20,10,3,8751,24.2,No,2,2,3,No,4,3,No
EMP0143,24,Male,IT,Data Analyst,Doctorate,Single,2025-03-05,0,1,4109,12.4,No,3,2,4,Yes,4,2,No
EMP0144,27,Male,R&D,R&D Manager,Bachelor,Divorced,2020-07-20,5,2,5252,11.5,Yes,2,1,3,Yes,3,3,No
EMP0145,29,Male,Finance,Accountant,Bachelor,Single,2011-09-13,14,2,4963,8.0,No,3,1,4,No,3,1,No
EMP0146,48,Male,R&D,Lab Technician,College,Divorced,2012-01-26,14,2,5936,11.1,Yes,3,4,4,No,4,3,No
EMP0147,30,Female,Finance,Accountant,Master,Married,2007-05-02,18,5,10559,22.5,Yes,4,2,3,Yes,1,3,No
EMP0148,58,Female,HR,Recruiter,Bachelor,Divorced,2016-02-15,10,4,12115,24.9,Yes,3,1,3,Yes,4,1,No
EMP0149,54,Male,Sales,Sales Manager,Master,Married,2003-07-14,22,4,11330,12.4,No,3,0,4,No,2,2,No
EMP0150,45,Female,Sales,Sales Executive,Bachelor,Divorced,2024-02-20,1,2,4681,14.0,No,4,4,3,Yes,3,3,No
EMP0151,36,Male,Sales,Sales Manager,College,Married,2013-01-29,13,2,5918,19.4,Yes,2,5,2,No,4,4,Yes
EMP0152,53,Female,Sales,Sales Manager,Below College,Married,2024-09-19,1,1,3024,22.7,No,3,6,1,Yes,2,4,No
EMP0153,53,Male,Sales,Sales Manager,Bachelor,Married,2022-12-31,3,1,2188,16.9,No,3,3,3,Yes,2,4,No
EMP0154,45,Female,Marketing,Marketing Manager,Bachelor,Married,2009-08-25,16,5,15351,12.8,Yes,3,4,4,No,3,2,Yes
EMP0155,33,Male,HR,HR Specialist,College,Married,2023-11-15,2,1,2000,13.3,No,3,3,4,Yes,4,4,No
EMP0156,23,Male,Finance,Finance Manager,Master,Divorced,2013-11-05,12,2,5741,18.9,No,4,2,3,No,1,4,No
EMP0157,24,Male,IT,Data Analyst,Bachelor,Divorced,2017-06-13,8,3,8861,5.1,No,3,6,2,No,4,3,No
EMP0158,58,Male,Marketing,Content Strategist,Bachelor,Married,2019-10-25,6,1,2643,17.4,No,3,3,2,Yes,2,4,No
EMP0159,38,Male,Finance,Finance Manager,Bachelor,Married,2011-03-02,14,3,9188,12.1,No,3,2,4,No,4,3,No
EMP0160,23,Male,Finance,Finance Manager,Bachelor,Married,2003-07-06,22,5,13729,20.9,No,4,0,2,No,4,4,No
EMP0161,23,Non-Binary,R&D,Lab Technician,Bachelor,Married,2015-12-15,10,4,10260,6.9,No,4,3,2,No,3,4,No
EMP0162,49,Male,R&D,Lab Technician,College,Single,2006-03-21,19,3,9031,16.8,No,4,6,2,No,3,1,No
EMP0163,44,Male,Sales,Sales Executive,College,Single,2024-06-01,1,2,4931,14.6,Yes,1,4,3,Yes,3,3,No
EMP0164,58,Female,R&D,Lab Technician,Master,Married,2011-04-30,14,2,5448,17.8,No,3,2,4,No,3,4,No
EMP0165,53,Female,R&D,Lab Technician,Doctorate,Single,2012-06-20,13,2,5034,6.3,No,2,4,2,No,1,2,No
EMP0166,54,Male,Sales,Sales Manager,Bachelor,Single,2006-08-17,19,3,7976,16.6,Yes,3,6,3,No,1,3,No
EMP0167,22,Male,IT,Data Analyst,Bachelor,Single,2004-06-17,21,4,11338,16.2,Yes,2,1,3,Yes,1,4,No
EMP0168,40,Female,Finance,Financial Analyst,Master,Single,2015-10-17,10,2,4916,16.2,No,3,2,4,No,3,3,No
EMP0169,23,Male,Sales,Sales Representative,Bachelor,Single,2023-05-27,2,2,5749,17.1,No,3,3,2,Yes,2,2,No
EMP0170,47,Female,R&D,R&D Manager,Below College,Divorced,2009-10-10,16,4,10869,18.5,No,2,2,3,No,3,3,No
EMP0171,53,Female,Sales,Sales Manager,College,Married,2014-06-27,11,3,8520,21.1,No,3,4,3,No,4,2,No
EMP0172,27,Male,R&D,Lab Technician,Master,Married,2003-02-01,23,5,15141,10.4,Yes,3,0,4,No,3,3,No
EMP0173,53,Male,R&D,R&D Manager,Master,Married,2006-01-09,20,5,13087,21.5,No,3,2,3,No,3,1,No
EMP0174,25,Female,Finance,Financial Analyst,Below College,Single,2012-01-29,14,3,9663,15.0,Yes,2,3,2,No,3,3,Yes
EMP0175,32,Male,R&D,Research Scientist,Bachelor,Divorced,2010-07-09,15,4,12899,6.5,No,3,1,3,No,4,3,No
EMP0176,38,Female,Finance,Accountant,Bachelor,Married,2021-02-28,4,1,4029,6.2,No,4,5,4,No,4,4,No
EMP0177,59,Female,IT,Data Analyst,Master,Single,2006-05-13,19,4,10120,11.7,No,2,0,1,No,4,3,No
EMP0178,45,Female,Sales,Sales Representative,Below College,Married,2021-02-10,5,2,5327,20.7,No,2,1,4,No,4,3,No
EMP0179,26,Female,Finance,Finance Manager,College,Divorced,2007-11-11,18,3,8336,19.2,No,3,2,2,No,1,3,No
EMP0180,55,Female,Marketing,Marketing Analyst,Master,Divorced,2001-06-23,24,5,19522,20.8,No,4,4,3,No,4,2,No
EMP0181,27,Female,R&D,Research Scientist,College,Married,2021-11-23,4,1,2771,15.3,No,3,6,3,Yes,4,3,No
EMP0182,43,Female,R&D,R&D Manager,Master,Married,2023-04-27,2,1,2473,13.8,No,3,4,3,Yes,2,2,Yes
EMP0183,32,Female,Finance,Financial Analyst,Bachelor,Single,2026-02-04,0,1,3543,7.9,No,3,3,3,No,4,4,No
EMP0184,37,Female,Marketing,Content Strategist,College,Divorced,2020-03-21,5,2,5238,11.6,No,3,4,4,Yes,2,1,No
EMP0185,54,Female,Finance,Accountant,Bachelor,Single,2012-02-17,14,2,6224,13.7,No,1,0,3,No,3,3,No
EMP0186,30,Male,IT,Data Analyst,Master,Divorced,2024-05-01,1,1,3342,6.8,No,3,4,3,No,2,3,No
EMP0187,27,Female,Marketing,Marketing Analyst,Master,Married,2023-03-31,2,1,2986,9.4,Yes,4,3,4,Yes,3,3,No
EMP0188,37,Female,IT,Data Analyst,Master,Married,2010-01-08,16,3,8277,17.0,No,3,5,4,No,3,1,No
EMP0189,50,Female,Marketing,Marketing Manager,Bachelor,Married,2001-04-06,24,4,11295,19.7,No,4,2,1,No,3,3,No
EMP0190,24,Female,Marketing,Marketing Manager,Master,Single,2002-04-09,23,5,16961,25.0,Yes,3,6,3,Yes,3,3,No
EMP0191,41,Female,HR,HR Specialist,Bachelor,Single,2014-10-31,11,2,6212,23.7,Yes,2,2,4,No,2,4,No
EMP0192,57,Male,Sales,Sales Manager,Bachelor,Single,2009-02-04,17,5,14969,17.9,Yes,4,4,2,No,4,3,No
EMP0193,40,Male,Finance,Finance Manager,Master,Single,2011-07-03,14,4,12195,13.4,No,2,1,3,No,2,3,No
EMP0194,47,Male,HR,HR Specialist,Below College,Married,2014-11-27,11,4,9986,17.7,No,3,2,4,Yes,3,3,No
EMP0195,24,Male,R&D,Lab Technician,College,Married,2010-10-12,15,5,14465,20.7,No,2,5,1,No,4,3,No
EMP0196,40,Male,IT,Data Analyst,Bachelor,Single,2018-07-03,7,2,5474,7.4,No,1,4,3,Yes,4,3,No
EMP0197,41,Female,R&D,Lab Technician,Below College,Divorced,2012-03-29,13,3,6000,13.2,No,3,6,3,No,3,3,No
EMP0198,53,Male,HR,HR Specialist,College,Divorced,2001-09-26,24,5,22254,21.8,No,3,3,3,No,4,2,No
EMP0199,28,Female,Marketing,Marketing Manager,Bachelor,Divorced,2009-03-10,16,5,13957,12.7,No,3,5,2,No,4,1,No
EMP0200,54,Male,Finance,Accountant,Bachelor,Divorced,2006-01-21,20,5,16897,16.4,No,3,4,1,No,4,2,No
